index,UFD,Starname,RA(J2016),Dec(J2016),R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source,col14,col15,col16,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,Separation
118,BooI,Boo06*,209.96803,14.54602,0.48,98.55,20.18,1.02,0.98,-2.20,e,o,p,,1230835063214777728,209.96803192063115,0.4998415,14.546019151282094,0.4234565,0.36929362656075726,0.57377046,1.1680263,-0.8738894855689985,0.65889424,-0.7749855184705847,0.5200406,20.182817,20.753143,19.73382,159.15493986507732,0.8975907,68.2589116343564,6.39771,101.3048053397458,8.122059,0.00735709539847378
119,BooI,Boo15*,209.99103,14.46737,0.28,101.67,19.96,1.07,0.99,-2.89,e,o,p,,1230833723185498240,209.9910328436071,0.40229258,14.467370552129465,0.3449403,0.6198001711917851,0.49307328,1.4168669,0.11716493314006761,0.5217382,-1.4120141908478483,0.45945543,19.964613,20.508528,19.440361,194.581636052054,0.8158858,85.50783748388804,7.9990497,132.74364564767126,7.080477,0.010109694617390943
120,BooI,Boo07*,210.02221,14.50649,0.04,98.88,20.6,0.73,0.92,-2.49,e,o,p,,1230833963703127808,210.0222115215418,0.77862674,14.506494424394749,0.65513307,-0.10389405016280506,0.9371716,1.9714557,-1.807967354618628,1.1293715,-0.7860607329620939,0.85417783,20.598747,20.774668,20.042717,108.50454675099357,0.8430744,66.91910933691203,7.4017086,76.22049004816348,8.523631,0.016787390170040654
121,BooI,Boo19*,210.02338,14.43857,0.33,106.64,19.91,0.71,0.9,-3.29,e,o,p,,1230830493370084736,210.02338139396437,0.39220232,14.438570355498262,0.34043244,-0.3518801063200498,0.46425968,1.1716415,0.29797763553652945,0.51463914,-1.1331165337050344,0.42520928,19.911541,20.234665,19.52018,204.32911057319652,0.805467,110.04006644636232,6.647757,123.33507453006963,6.068766,0.005025461037951193
122,BooI,Boo02*,210.05382,14.55327,0.34,101.25,18.99,1.06,1.0,-2.37,e,o,p,,1230836368884839296,210.0538170971416,0.1942784,14.553268445891039,0.1508764,0.5501585001323364,0.2355803,1.3539082,-0.6663517744589792,0.24720876,-1.1785765413520422,0.19290262,18.986525,19.458847,18.397703,479.00137588881614,1.0145366,224.8421466050816,8.753324,346.7983272873283,6.216283,0.011559180671925347
123,BooI,Boo-25,210.091,14.4315,0.6,100.35,20.52,0.86,0.85,-2.76,e,o,p,,1230830321570823296,210.0909987904337,0.8538361,14.431497624298368,0.6280181,0.6275364581746704,1.0437089,0.863467,-0.79051502758382,1.0948616,-0.3473632804261988,0.97145385,20.517134,20.765118,19.904446,116.97499221479973,0.8580124,67.5102105192076,7.2333403,86.57242910589672,14.180113,0.009535676469977026
124,BooI,Boo-13,210.09351,14.55748,0.54,98.30,19.17,0.8,0.85,-2.49,e,o,p,,1230835956567981696,210.0935083015543,0.20699444,14.557479468248312,0.15704688,-0.13025685535066697,0.25224718,1.1528299,-0.1324779923512391,0.2730748,-1.1451927553418615,0.19163226,19.174032,19.534191,18.734034,403.027062714854,0.9269448,209.76846895559072,7.9520097,254.41613867195002,7.7203026,0.006220013237338819
125,BooI,Boo-12,210.11369,14.53877,0.63,105.29,19.83,1.03,0.99,-2.48,e,o,p,,1230835681690064128,210.11368687453782,0.35131365,14.538766733042175,0.2557908,-0.24321654631931364,0.41896996,1.3443904,-0.8589807208268914,0.43604803,-1.034184564668745,0.30871943,19.830769,20.251308,19.22033,220.10994599872976,0.7964111,108.36608602436182,10.454934,162.56465779650378,7.769966,0.016029474235586292
126,BooI,Boo-03,210.1378,14.49991,0.77,96.62,19.16,1.01,1.0,-3.09,e,o,p,,1230832417514898048,210.13780319897927,0.21781509,14.499912891578266,0.163186,0.03381745019557996,0.2536642,1.0242391,-0.05773344024986171,0.3042514,-1.0226106921954081,0.20115158,19.160034,19.618793,18.60612,408.25614716996535,0.92761576,194.04369097057943,8.407366,286.22694759455646,6.630653,0.015253622352447774
127,BooI,Boo-23,210.04805,14.43224,0.41,113.29,21.05,0.61,0.0,-2.90,e,p,,,1230830463305085184,210.0480512640425,4.999789,14.432244897285122,3.6279862,,,,,,,,21.053925,20.748507,20.140547,71.34717752680594,2.0193856,68.55104026307062,18.784653,69.65290891287307,17.218185,0.01817267469049706
128,BooI,Boo22*,209.96096,14.48643,0.44,92.80,18.55,1.09,1.0,-2.87,e,o,,,1230834547819224448,209.96095954000526,0.14849083,14.486425664828557,0.12910232,0.0710802907036934,0.18139955,0.9153733,-0.5321354997193232,0.20026816,-0.7448087942992668,0.1632053,18.545044,18.911793,17.822084,719.3311021313444,1.1422131,372.1346899319995,8.270106,589.2832270868207,8.928787,0.015688759513959052
129,BooI,â,210.0128,14.50657,0.09,97.90,21.04,0.72,0.0,-1.90,o,p,,,1230833963703127680,210.01279534404537,2.5652928,14.506567100473138,5.1198545,,,,,,,,21.046028,20.883638,20.16243,71.86805125088641,1.3300778,60.52874834034496,9.141959,68.26316588598561,2.2065995,0.01929444599135455
130,BooI,â,210.01386,14.48096,0.12,115.90,20.25,0.7,0.0,-2.32,o,p,,,1230833860623898496,210.01386476650717,0.5816862,14.480961448295627,0.5045245,0.32301892222965584,0.6160201,2.392756,-0.9685257127495834,0.78675586,-2.1879760754504325,0.63861024,20.24883,20.495031,19.798111,149.76648446398335,0.8602701,86.57740005524805,7.7540083,95.48035559598686,7.4085507,0.017413179687823837
131,BooI,â,209.91402,14.44401,0.8,102.01,19.86,1.05,0.92,-2.20,o,p,,,1230828122548139008,209.9140150911886,0.3553415,14.444006158088804,0.30501842,0.21521748073402502,0.45430502,1.9595017,0.18908614701365503,0.4668334,-1.950357321218373,0.3733498,19.861027,20.46422,19.41901,214.0603290915302,0.84451497,89.0695050676801,6.384719,135.37997069531013,6.6707587,0.02200348111479179
132,BooI,â,209.92577,14.49508,0.68,90.18,19.04,1.07,0.99,-2.30,o,p,,,1230834410380273664,209.92576667870625,0.19619496,14.495078452313052,0.167775,0.059281182832635275,0.23722811,1.4985399,-0.30632533344776836,0.266511,-1.4668969473977302,0.21535781,19.038597,19.492392,18.42477,456.5707732923139,0.96993005,218.001852550766,7.070888,338.25928988190407,7.207343,0.012847134403391332
135,BooI,Boo-05,209.93445,14.5448,0.68,99.70,20.92,1.02,0.0,-2.89,e,,,,1230846745526363008,209.93444721292803,2.8611178,14.544799951503125,1.3881454,,,,,,,,20.919256,20.920101,19.897646,80.7689140528521,1.4543028,58.52973143920992,14.810399,87.11640021599953,25.77838,0.009713471656997121
137,BooI,Boo-09,210.10727,14.55231,0.54,â,19.52,0.6,0.07,-2.65,e,,,,1230835853488763008,210.10726839706425,0.26828688,14.552311488687593,0.20079742,-0.2966869956469073,0.30882254,1.2160803,-0.40776414539826444,0.34117553,-1.1456787510841986,0.2311751,19.519772,19.677176,19.073473,293.11488198913383,3.550422,183.88509246132435,16.374119,186.10955909028362,15.055518,0.007740735318424337
138,BooI,Boo-28,210.01729,14.45611,0.29,â,15.85,0.83,0.0,-2.31,e,,,,1230833486962192640,210.01728986254105,0.036115084,14.456114715321203,0.031191077,0.6454431811598805,0.044024143,27.121714,-18.985832240649433,0.049902122,-19.36815705454034,0.039437387,15.850526,16.181364,15.350613,8604.715555884533,3.617307,4601.202368035555,12.94554,5740.016203479848,8.101161,0.01698191834309683
139,BooI,Boo-30,210.10087,14.44123,0.62,â,20.98,1.64,0.0,-1.86,e,,,,1230831803334814592,210.1008710808372,3.885729,14.441228125344358,5.4744277,,,,,,,,20.973768,22.07904,20.4439,76.81388141269998,2.5458174,20.127989309285866,4.427802,52.67425745892489,14.05336,0.007729433502576635
140,BooI,Boo-1069,209.72176,14.11606,2.82,112.00,18.49,0.99,0.77,-2.51,d,,,,1230724631016060160,209.72175837589103,0.14154983,14.116064885126121,0.123110026,-0.07003415357171025,0.1844791,1.3829362,-0.6783167477579728,0.1845633,-1.2051551626268062,0.14740995,18.49029,18.948942,17.959368,756.5383656953036,1.2267307,359.6168689931014,8.911752,519.291053271706,12.187137,0.018477959696754184
142,BooI,Boo-8,209.91088,14.32108,1.19,107.50,18.46,1.01,0.98,-2.75,d,,,,1230823312184726272,209.91088362101857,0.13718905,14.321077841315468,0.11431852,-0.2436447198841462,0.17509733,1.3215731,-0.721448431512823,0.16831133,-1.107279437813411,0.13928366,18.460484,18.923029,17.91762,777.5950107894478,1.1976937,368.3033519944947,8.64626,539.6477798591159,11.502344,0.014829838917606149
143,BooI,Boo-78,210.06138,14.22053,1.54,103.50,18.63,1.07,1.0,-2.46,d,,,,1230773937240652800,210.06138175849492,0.14494435,14.220532274939544,0.15316528,0.21402362080495663,0.18586864,1.0602338,-0.2588986015933078,0.19285278,-1.0281377749271063,0.18260245,18.631033,19.055277,17.985338,664.5592128856817,1.1615056,326.06657181733055,9.540599,507.0172640351975,8.815642,0.010233784538769681
144,BooI,Boo-34,210.08794,14.29109,1.23,111.25,18.07,1.14,1.0,-3.10,d,,,,1230775345989954176,210.08794402100378,0.10662039,14.291093301938114,0.09867212,-0.18707285662776527,0.13048956,1.1879005,-0.5007664610317522,0.13890928,-1.0771910526594661,0.122670844,18.069914,18.561865,17.422195,1114.2469058766003,1.3457699,513.6542829531039,8.676906,851.6869948998585,8.369026,0.018386823422243317
