source_id,ra,dec,pmra,pmdec,FeH,e_FeH,Dist,e_Dist
6762468927173009664,286.1162,-28.7519,-2.6222,-1.3267,-1.51,0.48,27.11,2.75
6762470816958640896,286.1269,-28.7050,-2.5614,-1.5242,-1.63,0.72,28.28,3.55
6762476005279661312,286.4399,-28.8534,-2.5450,-1.4587,-1.92,0.41,27.77,2.51
6762492944618692224,286.4324,-28.6227,-2.8408,-1.5535,-1.67,0.45,26.87,2.25
6762507405777257344,285.8961,-28.8833,-2.5598,-1.4549,-1.06,0.61,27.18,2.20
6762512323524220160,285.7113,-28.8077,-2.4799,-1.1787,-1.79,0.64,26.98,2.53
6762524104612534144,285.9763,-28.4888,-2.3261,-1.5185,-1.36,0.54,29.89,2.79
6762553555210857728,286.4997,-28.3102,-2.3508,-1.3692,-1.60,0.47,27.52,2.35
6762555200176553216,286.2839,-28.3475,-3.0354,-1.5797,-2.02,0.51,24.25,2.14
6762555715578117632,286.3094,-28.2973,-2.6730,-1.9384,-0.83,0.57,26.61,2.46
6762556986875009280,286.2441,-28.2594,-2.7308,-1.2215,-1.98,0.45,27.57,2.90
6762585608543887744,286.8582,-28.3376,-2.3519,-1.3087,-1.37,0.60,31.77,2.45
6762618147211042048,287.0959,-28.1076,-2.5398,-1.3627,-1.53,0.47,24.01,2.86
6762627355627105280,287.2903,-27.9164,-2.3457,-1.6401,-1.77,0.77,29.70,2.66
6762661921515949696,286.5826,-27.9589,-2.5184,-1.3635,-1.17,0.81,27.72,2.87
6762687626896914688,286.8176,-27.8023,-2.7685,-1.5079,-1.92,0.54,26.35,2.83
6762702539023694976,286.8118,-27.6700,-2.5089,-1.5334,-0.95,0.90,25.95,2.72
6762709514060435456,286.8750,-27.5371,-2.5149,-1.7115,-1.45,0.41,25.19,2.75
6762713190552789504,286.9323,-27.4069,-2.4883,-1.4891,-1.47,0.47,27.25,2.46
6762728613770437504,288.4362,-28.3291,-2.5715,-1.3691,-1.90,0.47,27.73,2.50
6762731912305501184,288.3922,-28.2781,-2.7983,-1.6524,-1.99,0.51,27.28,2.06
6762732187183324544,288.3269,-28.3014,-2.8054,-1.6833,-1.32,0.48,27.59,2.24
6762745965438938112,288.3011,-28.1771,-2.9751,-1.8655,-1.60,0.54,24.95,2.79
6762760946283236352,288.5740,-28.0499,-2.6766,-1.4918,-2.37,0.46,25.95,2.45
6762808053484672512,287.8462,-28.0067,-2.8572,-1.6244,-1.90,0.55,26.64,2.46
6762843654469033472,288.1980,-27.6304,-2.2722,-1.5195,-1.53,0.50,28.82,2.38
6762876429367411840,288.7977,-27.7407,-2.3901,-1.6566,-1.65,0.44,24.45,2.61
6762881308458221824,288.7841,-27.6068,-2.2840,-1.4971,-1.56,0.50,27.54,2.31
6762922402695086592,289.4235,-27.1672,-2.4619,-1.5936,-1.63,0.49,25.91,2.99
6763027440413922560,287.6070,-27.5010,-2.7671,-1.5984,-1.39,0.49,17.87,1.39
6763048438517013632,288.0901,-27.2694,-2.6077,-1.5709,-1.68,0.48,25.79,3.07
6763065579726902144,287.8143,-27.1488,-2.6241,-1.8138,-1.72,0.51,27.10,2.39
6763068431582833664,287.9866,-27.0155,-2.5060,-1.5393,-1.51,0.44,28.49,3.09
6763069535396834560,287.9385,-26.9639,-2.7925,-1.6785,-0.24,0.66,24.94,2.59
6763075681485076608,287.1326,-27.4381,-2.7551,-1.3396,-1.79,0.61,27.68,2.65
6763152922177144704,288.5176,-26.9098,-2.6297,-1.6095,-1.57,0.52,27.97,3.18
2415926014603767680,359.1332,-15.8839,-1.5691,-3.0154,-1.69,0.43,22.66,1.85
2417288584388255488,4.3788,-13.4749,-1.2518,-2.9977,-1.72,0.44,22.46,1.87
2421611245633496320,0.6597,-12.0285,-1.1375,-3.2517,-1.56,0.41,23.15,1.82
2422649390768460160,0.8254,-10.3494,-1.4140,-3.2128,-1.40,0.39,21.41,1.79
2424885209008171264,6.3933,-10.5448,-1.3246,-3.5666,-1.85,0.55,20.39,1.71
2425545981136213376,7.2801,-10.9522,-1.1917,-3.1384,-1.29,0.50,18.99,1.76
2426140713848218368,9.2533,-9.4919,-0.9512,-2.9962,-1.22,0.52,22.56,1.75
2428895127914519296,1.2564,-9.5983,-1.4517,-3.7655,-1.69,0.39,19.97,1.68
2429386854426161792,3.7792,-8.0859,-1.5337,-3.0975,-1.53,0.41,22.33,1.82
2429470348590486272,2.2944,-8.3359,-1.7995,-3.6955,-1.45,0.48,18.91,1.41
