index,source_id,UFD,Starname,RA(J2016),Dec(J2016),R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source,,,
184,1230860798658865664,BooI,—,210.11267,14.64176,0.93,105.37,19.65,0.23,1.00,—,k,p,,
185,1230831524161686016,BooI,—,210.16485,14.47441,0.98,95.13,19.65,0.14,1.00,—,k,p,,
186,1230823174745775104,BooI,—,209.95890,14.32901,0.99,102.50,19.74,0.77,0.11,-2.13,p,,,
187,1230834753977115904,BooI,—,209.97391,14.51555,0.37,124.70,20.10,0.92,0.00,-0.97,p,,,
188,1230848326073804288,BooI,—,209.98326,14.57381,0.50,114.80,19.08,0.95,0.00,-1.22,p,,,
189,1230830081053217792,BooI,—,210.00688,14.41519,0.46,93.80,18.62,1.04,0.00,-1.27,p,,,
190,1230873649201036800,BooI,—,210.00929,14.68729,1.02,80.40,20.30,0.72,0.00,-1.18,p,,,
191,1230829673030965504,BooI,—,210.01017,14.38032,0.64,103.90,20.68,1.03,0.00,-2.19,p,,,
192,1230835097574485504,BooI,—,210.05097,14.48945,0.19,99.20,20.92,-0.08,0.00,-2.53,p,,,
193,1230872584049134080,BooI,—,210.06110,14.65854,0.87,101.00,20.92,0.22,0.00,-2.19,p,,,
194,1230832250011670784,BooI,—,210.11075,14.49690,0.59,107.40,20.70,0.83,0.92,-2.38,p,,,
195,1230829256419219456,BooI,—,210.11834,14.39796,0.87,100.00,21.00,0.92,0.00,-2.70,p,,,
196,1230784313881154048,BooI,—,210.19823,14.44174,1.25,98.20,20.87,0.33,0.00,-2.58,p,,,
197,—,BooI,SDSSJ135933.50+142821.6,209.88958,14.47267,0.93,117.80,21.58,0.07,0.00,-3.14,p,,,
198,—,BooI,SDSSJ135937.60+142647.6,209.90667,14.44656,0.84,102.70,21.31,0.08,0.00,-2.44,p,,,
199,—,BooI,SDSSJ135945.72+142230.9,209.94050,14.37525,0.85,90.30,21.41,0.06,0.00,-2.02,p,,,
