source_id,Cluster,likelihood,prior,posterior,RVflag,SOS,classifier,G23,C17,New,Final,_RA,_DE
6029365357572817536,NGC_6266_M_62, 0.0171446838606368, 0.9158105123550092, 1.5701281710574399e-02,False,True ,True ,True ,False,False,True ,255.29732,-30.12079
6029365391831358336,NGC_6266_M_62, 0.1249631783191088, 0.7609459055775153, 9.5090218889878800e-02,False,True ,True ,True ,False,False,True ,255.32299,-30.12432
6029365391831519488,NGC_6266_M_62, 0.0130664034703604, 0.8488727190196165, 1.1091713441692200e-02,False,True ,True ,True ,False,False,True ,255.32097,-30.11409
6029365391932733824,NGC_6266_M_62, 0.0420717964117041, 0.8802990177231815, 3.7035761055072801e-02,False,True ,True ,False,False,False,True ,255.31855,-30.11431
6029365426191441664,NGC_6266_M_62, 0.9671645768990088, 0.6869012382245711, 6.6434654543887239e-01,False,True ,True ,True ,False,False,True ,255.33242,-30.09963
6029365426292159616,NGC_6266_M_62, 0.0057017761224004, 0.6812863176419424, 3.8845420584489002e-03,False,True ,True ,True ,False,False,True ,255.33525,-30.11054
6029365460551127296,NGC_6266_M_62, 0.0143500935988614, 0.9568067474918972, 1.3730266382530800e-02,False,True ,True ,True ,False,False,True ,255.31371,-30.11233
6029365460551165568,NGC_6266_M_62, 0.0160519687300889, 0.9065048023283504, 1.4551186740650099e-02,False,True ,True ,True ,False,False,True ,255.31722,-30.11182
6029365460551282560,NGC_6266_M_62, 0.2922827910505137, 1.0000000000000000, 2.9228279105051369e-01,False,True ,True ,True ,False,False,True ,255.30740,-30.10519
6029365460551283072,NGC_6266_M_62, 0.8450933122562070, 0.9829308069943524, 8.3066825140152389e-01,False,True ,True ,True ,False,False,True ,255.30969,-30.10501
6029365460651933184,NGC_6266_M_62, 0.0335622038518462, 0.9504043942009648, 3.1897666019863199e-02,False,True ,True ,True ,False,False,True ,255.31429,-30.11133
6029365490604930048,NGC_6266_M_62, 0.0111136101109711, 0.8549320405003716, 9.5013813694979996e-03,False,True ,True ,True ,False,False,True ,255.31817,-30.10185
6029365490605171840,NGC_6266_M_62, 0.0064783704362540, 0.7486129038538425, 4.8497917045250000e-03,False,True ,True ,True ,False,False,True ,255.32285,-30.09490
6029366182207329792,NGC_6266_M_62, 0.6125663037009252, 0.1228044812987597, 7.5225887187090598e-02,False,True ,True ,True ,True ,False,True ,255.19178,-30.18686
6029366899347248512,NGC_6266_M_62, 0.0080700609927175, 0.0248106091001552, 2.0022312870470000e-04,False,True ,True ,True ,False,False,True ,255.07849,-30.18732
6029367758341022720,NGC_6266_M_62, 0.2655116660286089, 0.3800798199341617, 1.0091562621457290e-01,False,True ,True ,True ,False,False,True ,255.24556,-30.14338
6029367895786551552,NGC_6266_M_62, 0.2397792942906776, 0.5824757058647581, 1.3966561369371600e-01,False,True ,True ,True ,False,False,True ,255.27127,-30.13410
6029367900194921856,NGC_6266_M_62, 0.5734756408267863, 0.6553925355882173, 3.7585165433954520e-01,False,True ,True ,True ,False,False,True ,255.27371,-30.12513
6029367964506023168,NGC_6266_M_62, 0.0166617480340529, 0.6080823544260728, 1.0131714973400900e-02,False,True ,True ,True ,False,False,True ,255.26597,-30.11810
6029368033225472256,NGC_6266_M_62, 0.6545628025067425, 0.2846501837684487, 1.8632142202153501e-01,False,True ,True ,True ,False,False,True ,255.22272,-30.13834
6029368106353253120,NGC_6266_M_62, 0.3816142154828410, 0.2594927640091501, 9.9026127560825794e-02,False,True ,True ,True ,False,False,True ,255.21269,-30.12410
6029368278050006144,NGC_6266_M_62, 0.1827199474686317, 0.7100075928246008, 1.2973255006324069e-01,False,True ,True ,True ,False,False,True ,255.27545,-30.11598
6029368308103438208,NGC_6266_M_62, 0.0048487694726441, 0.8531868544256029, 4.1369063742000998e-03,False,True ,True ,True ,False,False,True ,255.29062,-30.10035
6029368312409585408,NGC_6266_M_62, 0.1775670715632745, 0.8697149281184212, 1.5443273288085180e-01,False,True ,True ,True ,False,False,True ,255.28923,-30.11706
6029368312409605632,NGC_6266_M_62, 0.2101418498298387, 0.9204851997296112, 1.9343246261216909e-01,False,True ,True ,True ,False,False,True ,255.29158,-30.11346
6029368312510278016,NGC_6266_M_62, 0.0977959524971784, 0.9761816638105760, 9.5466615622635698e-02,False,True ,True ,True ,False,False,True ,255.29589,-30.10689
6029368312510439680,NGC_6266_M_62, 0.0153325724182677, 0.9533697778381276, 1.4617611160090900e-02,False,True ,True ,True ,False,False,True ,255.29559,-30.10481
6029368312510451456,NGC_6266_M_62, 0.1909009702111446, 0.9727511685903932, 1.8569914185793071e-01,False,True ,True ,True ,False,False,True ,255.29494,-30.11266
6029368342463146240,NGC_6266_M_62, 0.7499649037444196, 0.6281744054656222, 4.7110875752973330e-01,False,True ,True ,True ,False,False,True ,255.26735,-30.10770
6029368342463149184,NGC_6266_M_62, 0.8506908147983993, 0.6555131215067861, 5.5763899144564999e-01,False,True ,True ,True ,False,False,True ,255.27018,-30.11505
6029368342463151616,NGC_6266_M_62, 0.2156662884477941, 0.6738200906015213, 1.4532027802158640e-01,False,True ,True ,True ,False,False,True ,255.27217,-30.10526
6029368346769708672,NGC_6266_M_62, 0.2807159991454404, 0.6022501001256111, 1.6906123859220240e-01,False,True ,True ,True ,False,False,True ,255.26550,-30.10299
6029368346769731712,NGC_6266_M_62, 0.3202277189407085, 0.5879568063953292, 1.8828006694763999e-01,False,True ,True ,True ,False,False,True ,255.26430,-30.10166
