source_id,label
4658077682561507072,-1
4658078056254065280,-1
4658084378370435200,4177
4658097091506555648,-1
4658084859406862592,5731
4658087406372116096,6673
4658087853048470784,804
4658089601108758144,-1
4658090086394736512,-1
4658090322675796736,6965
4658092349886730752,-1
4658092762208858624,4687
4658092835175431936,82
4658093346323468032,-1
4658094037800000128,-1
4658094072123331328,6581
4658096271186321024,-1
4658099324891831808,-1
4658100080831312384,-1
4312289281379003392,-1
4312300035996587392,-1
4317925652877322368,4494
4317964135802466304,4108
4318019764183570816,3996
5277305069117881472,-1
5278233744129546752,6607
5278246633322504704,3184
5278286864282091392,-1
5278382693591075968,-1
5278406268674670336,-1
5278409494189324928,-1
5278461686632181760,-1
5278521236356588032,-1
5278522507666831104,-1
1836538254975084928,764
5278557588960646656,-1
5278568889017330048,5574
5278574012909634944,6992
5278589367433533696,-1
5278604623145426048,-1
5278620256826634880,-1
5278621017039241856,6642
5278623761519471872,5574
5278627373582231296,-1
5278700830407902848,-1
5278712169124809472,6528
5278718869274090112,-1
5278748903976907264,-1
5278764086687252096,5308
5793195203318601472,-1
2196083371913814144,-1
5961435673704073728,-1
5961448696048880384,-1
5961453605159550976,-1
3828710323566184192,-1
3829102844921863168,768
3829124530212167424,768
3829142289902394368,768
3829154354465023104,768
2249115837083009664,864
2251938420870248576,-1
2253083326009382784,-1
4658032911810210048,-1
4658034178909410432,5193
4658035621863737728,-1
4658036171777744896,-1
4658037206734845184,6482
4658037855403889920,6964
4658038237609448704,3949
4658040947623318144,5311
4658044074538755712,-1
4658046067401440256,-1
4658048403708015872,-1
3843767890495037696,-1
4658059334419150720,-1
4658064415477674624,-1
4658068439789243904,-1
4658071734014474880,7079
4658072764799373184,5932
4658052187627622656,-1
4658074723309393664,-1
4658077540858591232,-1
4658078575914504704,5840
4658078846530146432,2717
4658084069198158464,-1
4658084760630483328,-1
4658086611820118912,-1
4658087372011685504,2340
4658087573898174208,-1
4658090391312885888,3678
4658091800076994176,-1
4658099496690466176,-1
4658100836721392640,3138
4658102554711592192,-1
4658104032182611072,-1
4658116126823891456,-1
4658118192612820608,4950
4658119803269779456,-1
5947466339779704704,-1
5937102553719146624,-1
5937104718302780160,5709
5937143750989419392,2415
5937197592693576192,647
5937217452632903552,-1
6030027435332929408,-1
6030077566143388544,250
5238607280646051840,2266
5834060481438301056,1406
5834061409153069312,-1
5834109341019115776,-1
6027742031657844992,6157
6027763025462821248,-1
4152102527523819008,-1
2053594116724865792,2386
2053698776501394688,1617
2053813542307929344,4351
4071611473143692416,5722
4071668716495708160,5722
4312269387083936384,3492
4469527789259770624,-1
2241578375637644928,864
4470104380019903360,-1
4470196640212387840,508
5902342146371726592,-1
5902412446405384448,-1
5902617814564852864,-1
6069771168528925952,-1
6070039861683043712,1370
6070218566683516416,-1
6070318587880464768,-1
5947559901350972288,2379
5937085305042261120,988
5937146499767569408,336
5937178076352566144,2446
5937185429336315904,-1
6030102408230971520,1559
5238320136326983552,2266
5238662187517407360,-1
5834121195134672000,511
5834150229046749568,-1
6027790272688836736,4481
6027854216171342336,2819
6027899330523414016,6134
6061846133530764416,4634
6061912688367609216,-1
6061918014128289408,-1
2053604463301582336,847
4071702221545856640,5722
4071830108457852672,-1
4312100886925178496,-1
4469717631100983040,-1
4318066493435184896,4394
4318068039648411648,4461
6069639433293843968,1710
6070483205388188800,1710
5937127567540827008,1484
6030121993301166848,-1
5238535193931744384,-1
6027768797906902016,1513
6027804188385725184,6157
6061707388904716800,-1
4152030410750843520,-1
4152069370380401920,-1
4152136857212435200,-1
4152261857946637568,5211
2053729429680811008,4236
2053781244170781056,4213
2054179469233093120,4377
4071642710472350208,-1
4071818318782739840,5722
4312096110922989312,4548
4312218461642897920,4547
4312274128729847680,-1
4318020176530386560,3449
4470128333061698560,-1
4318163559683437184,4683
5278227902988441344,6528
5902404092663882112,2488
6069952214288822400,-1
