source_id,label
4658068469829442816,4
4658069161343528832,4
4658070290894295808,4
4658052458306611840,4
4658053733815838080,4
4658076853665236352,4
4658077850008761856,4
4658080701945087232,4
4658082900901692416,-1
4658084137853964672,4
4658085649748946432,161
4658089635468509184,4
4658090563181368064,4
4658093384965080320,4
4658093449345524992,4
4658094342722612736,4
4658094858118673792,4
4658104826672221312,4
4658105062977910912,4
4658107747249162112,4
4658109671394604416,4
4658110113861952128,4
4658111866221402368,4
4658113034455655168,162
4658113309258963200,4
4658113412411867776,4
4658116985812564992,163
437267875924401664,-1
437713689232227584,-1
5251660682687735168,-1
5278366785033188224,4
5278389054445239808,4
5278422825768073856,4
5278445163900475520,4
5278530268667673984,4
5278562639842077056,4
5278614145092059264,4
5278614896718338560,4
5278633038649539328,4
5278706705923636480,4
5278712276504365184,4
5278747628371498624,4
5278750656331649664,4
5793085290813247104,-1
1837118281718288640,-1
2268509641648511872,-1
2269026171595441792,-1
5961460378362535040,-1
5961499960733132544,-1
5961505046081143552,164
5961516109816634240,-1
5961545345653543680,-1
3829136556120617600,45
3829167063273308800,-1
3829174656775417344,-1
4658032632764959360,165
4658035793687586432,4
4658037065127393408,4
3841935245130393856,-1
4658041428866989184,4
4658042940661852160,4
4658045006439905536,4
4658046101641163392,4
4658046994958436352,4
4658056070277376384,4
3844280159834814592,-1
4658061804122577792,4
4658062903641057280,4
4658063182708329728,166
5952763894230171648,-1
5952876250553481216,-1
5952911568039713920,-1
5983869284311709440,167
5984111516148973440,-1
5984155805849425280,-1
514616216840428160,-1
5862149533165385728,168
5862222719445545728,169
2012649270076498048,-1
2012655038215645440,-1
5939348168728313984,170
5939398192173555968,-1
5253743982344691200,171
5253756386249056768,-1
1936256744066915200,-1
5961167972689646976,-1
5961174917647199232,-1
5939521857200086144,172
5961206734784666368,-1
5939544122306858368,173
2035379164719212544,-1
2035410878794613632,174
4116810545158052480,-1
462353371152093952,-1
2035486676342578432,-1
2035547213906515072,-1
462885740937945728,175
2035607794444381056,-1
135390425872020736,-1
5334587327143969280,176
4116886789385453056,177
5334602685953614080,178
4116898059317697664,179
5318669559846317312,180
4658040020071187072,4
4658040707276976384,181
4658040741488695424,4
4658043043746158848,-1
4658047338595655168,4
4658050366561967488,4
4658055000925225088,4
4658056791794515200,4
4658061292923841920,4
4658063006720258048,4
4658063109799622272,-1
4658064209319304832,4
4658066240765212416,-1
4658066511385812864,4
4658068091961626240,4
4658068504189233280,4
4658069436238250496,-1
4658070776252168576,4
4658071837092711552,4
4658051908549713920,4
4658051912749858688,4
4658073731190103936,4
4658075827094310400,4
4658078777815068928,4
4658078919513094656,4
4658083489359916800,4
4658083656881259392,4
4658085168646014080,4
4658085890267226624,4
4658088849444858880,4
4658091284680918144,4
436332260252212480,-1
4658092934006659712,4
4658094518840137856,4
4658097164447289984,4
4658098848073362816,4
4658099634129420160,4
4658101871823100544,-1
4658103035746957824,4
4658103658532483200,4
4658111217675073920,-1
4658119494076814976,4
5952850412023873792,-1
5277480273718785280,-1
5278232232296035200,4
5278248759335570048,4
5278254085094591360,4
5278338369530326144,4
5278349158488368640,4
5278398224194494592,4
5278455815416648960,4
5278471754035680896,4
5278486013327278336,4
5278517727365086080,4
5278522091049400064,4
5278546314668293760,4
5278565075104130688,-1
5278570572644895616,4
5278584900652389376,4
5278602217961090944,4
5278620600424093056,4
5278624757951972736,4
5278628468804061696,4
5278633313527398912,4
5278706912082156928,-1
5278747868889741696,4
5792747019186753536,-1
1836789635117478528,-1
2196515681846404480,-1
5961420624121402240,-1
3829068867436034560,46
3829152494743851264,-1
3829168231504158464,138
3829175928085760512,-1
3830548668353018240,-1
3830664185793363072,37
2249842064512744448,182
4658036034205554560,4
6069844698374074752,183
6069936546245596672,184
6070005265722895744,-1
6070279765673406080,-1
5947541798077431168,-1
5947699092648110848,-1
5937092108273913472,-1
5937141861198838656,-1
5937145125443115008,-1
5937202815372459392,-1
6030024068083166720,185
6030057667552653184,-1
6030069388510534272,-1
6027749006681482624,-1
6027776735008392704,-1
4152190419738335360,186
2054199500952967808,-1
4071620131820407808,1
4071620857669332224,1
4071700327427088128,1
4071724246109727104,1
4071751424671718912,1
4071785406476729984,1
5901086705937928064,-1
4312107312235434880,-1
2242125730564543232,-1
5278227971688298112,4
5278238386986042112,4
5278275903524641792,4
5278316344953617664,4
5278348711811715072,4
5278390050869538944,4
5278459144020189056,4
5278464229252998784,4
4318026429971061248,-1
5277299983875740288,187
5277652583510600576,-1
5278085383074986880,188
5278115924582050816,-1
5278233434903917568,4
5278244468663838720,4
5278259582653060096,4
5278277827669971968,4
5278338644409446144,4
5278356717633938560,4
5278383655663826304,4
5278406745410299520,4
5278413960954898432,4
5278440589752069504,4
5278533567202810496,4
5278558168778105984,4
5278592528514676608,4
5278648844126706176,4
5278656094032776192,4
5278699906998037632,4
5278767041624446592,4
5278772715283634560,4
1836698508794444544,189
1836995518675196800,-1
1837066570311302784,190
