source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error
4008885404224568064,187.13120066892705,0.09280889,26.873980277656376,0.08016825,2.078096568506076,0.1154605,9.065074,-6.588359511470003,0.10838943,-6.226482763811432,0.102472715,17.71448,18.82736,16.691523,1545.8055727911708,1.8429196,402.228320346163,6.213714,1669.3565007437937,10.807195
4008891515962307200,186.8534548549486,0.1387171,26.895849404040355,0.16170654,1.080598075666893,0.17705299,7.947237,5.079081357117184,0.18131056,6.112406367731313,0.21360154,18.408224,19.414637,17.474356,815.9371880140508,1.5156341,234.18662014537475,9.017083,811.7386167198998,8.005786
4008907978572546304,187.7602288371167,0.31295204,26.675529677736932,0.32676393,-0.69105524197311,0.4085833,14.803172,-14.74364555250121,0.40110824,1.3262101908842814,0.38166812,19.177141,20.146511,17.988134,401.87429686225227,1.3986682,119.34723063214648,10.723506,505.713438272129,8.947496
4008908459608883072,187.68550842064704,0.012403619,26.66786943649321,0.014521479,1.9286695952218282,0.017009996,87.76801,-32.14783086052779,0.015743572,-81.66848420557645,0.018120708,12.848198,13.125685,12.40777,136668.26292233408,43.197952,76761.4474568526,54.68464,86307.83949195598,42.153774
4008912990798707712,187.62136973635532,1.3651053,26.76945074325593,3.2696402,,,,,,,,20.839294,20.881237,19.983074,86.94184389747919,1.1202847,60.66274555302152,10.153029,80.52452528822597,12.292677
4009049300176896128,186.28237843116207,5.824781,26.679315917313122,3.6156754,,,,,,,,21.31701,20.31312,18.62956,55.99407508122836,1.23894,102.36913514699391,12.60982,280.1137121167352,12.566233
4009050159170072192,186.32746972646012,0.096343175,26.743732739530767,0.077501975,0.6645411640891735,0.10652622,11.459697,-7.86963571073322,0.13080816,-8.330274705515915,0.10572753,17.829111,18.451359,17.039503,1390.9200942263114,1.4414766,568.6869124228824,11.087748,1211.5928442511054,10.0292425
4009050468407718528,186.4423511616812,0.033314385,26.734048075005184,0.026949162,0.8552285160363033,0.03757219,6.6450458,3.898838621527571,0.04068838,-5.3810492737923035,0.037313286,15.62653,16.127106,14.965526,10576.325544147343,4.119751,4836.981508704288,13.968515,8183.667223483763,17.42819
4009050910790525056,186.45099508591912,7.1144547,26.75409799013016,6.906233,,,,,,,,20.925564,20.833538,19.542252,80.3010084729761,1.3511515,63.387268806818334,14.639912,120.85312622875911,65.28248
4009053006734123776,186.24517323606574,6.401404,26.76357879628128,4.059055,,,,,,,,20.909101,20.585733,19.664467,81.5278932985526,1.7085547,79.63864774154659,22.541605,107.98694605866802,11.770481
4009053350329909504,186.26480852538336,0.25410414,26.77615751231585,0.2098739,0.017303305612185904,0.28378525,1.2660482,-0.24779746106442868,0.32320932,-1.2415613397363243,0.29680863,19.409561,19.913916,18.803469,324.4307248681908,0.97960174,147.8600757436419,6.234164,238.65525589055625,7.123909
4009053732582889472,186.21265488577018,0.66944534,26.769134251260326,0.53427225,1.3720132346248044,0.74921936,9.767774,-7.085399382027794,1.0905873,-6.72357936620998,0.8108516,20.485561,21.441898,19.657728,120.42648696195714,1.0494447,36.195766172652135,5.4901104,108.65938955946203,8.631801
4009054827799143296,186.3474338859033,0.6121456,26.815102892911057,0.5225772,1.7178476361413821,0.7008065,9.933432,-9.041378004534502,0.83656394,4.114188587941149,0.6743396,20.428696,21.827438,19.104036,126.90200165210052,0.9245065,25.37709563565559,5.280022,180.94375284360467,9.461853
4009054862158410624,186.36406853358443,0.100992784,26.823365592632772,0.088880226,0.5130224457619862,0.117107,3.6677952,-2.1721845308761094,0.12676862,-2.955390974469847,0.12196446,18.030813,18.526451,17.387857,1155.104557104725,1.3870943,530.6841277333851,10.042541,879.0526074760562,12.353337
